ACDNet NIfTI Volume Quality Evaluation
Date: 2025-03-23 08:36:27
Original Directory: /home/mcosta/PycharmProjects/Semi_ACDNet/data/test/CTPelvic1K_METAL
Reconstructed Directory: /home/mcosta/PycharmProjects/Semi_ACDNet/save_results_nii
Metal Threshold: 2500.0 HU

Volume/Slice                                  PSNR      SSIM
------------------------------------------------------------
dataset7_CLINIC_metal_0000_data.nii.gz[000]     18.47    0.7926
dataset7_CLINIC_metal_0000_data.nii.gz[001]     18.47    0.7922
dataset7_CLINIC_metal_0000_data.nii.gz[002]     18.47    0.7919
dataset7_CLINIC_metal_0000_data.nii.gz[003]     18.47    0.7917
dataset7_CLINIC_metal_0000_data.nii.gz[004]     18.47    0.7914
dataset7_CLINIC_metal_0000_data.nii.gz[005]     18.47    0.7907
dataset7_CLINIC_metal_0000_data.nii.gz[006]     18.47    0.7906
dataset7_CLINIC_metal_0000_data.nii.gz[007]     18.47    0.7908
dataset7_CLINIC_metal_0000_data.nii.gz[008]     18.47    0.7903
dataset7_CLINIC_metal_0000_data.nii.gz[009]     18.47    0.7895
dataset7_CLINIC_metal_0000_data.nii.gz[010]     18.47    0.7887
dataset7_CLINIC_metal_0000_data.nii.gz[011]     18.47    0.7880
dataset7_CLINIC_metal_0000_data.nii.gz[012]     18.47    0.7870
dataset7_CLINIC_metal_0000_data.nii.gz[013]     18.47    0.7861
dataset7_CLINIC_metal_0000_data.nii.gz[014]     18.47    0.7858
dataset7_CLINIC_metal_0000_data.nii.gz[015]     18.47    0.7863
dataset7_CLINIC_metal_0000_data.nii.gz[016]     18.47    0.7871
dataset7_CLINIC_metal_0000_data.nii.gz[017]     18.47    0.7877
dataset7_CLINIC_metal_0000_data.nii.gz[018]     18.47    0.7879
dataset7_CLINIC_metal_0000_data.nii.gz[019]     18.47    0.7881
dataset7_CLINIC_metal_0000_data.nii.gz[020]     18.47    0.7871
dataset7_CLINIC_metal_0000_data.nii.gz[021]     18.47    0.7862
dataset7_CLINIC_metal_0000_data.nii.gz[022]     18.47    0.7855
dataset7_CLINIC_metal_0000_data.nii.gz[023]     18.48    0.7853
dataset7_CLINIC_metal_0000_data.nii.gz[024]     18.47    0.7859
dataset7_CLINIC_metal_0000_data.nii.gz[025]     18.47    0.7865
dataset7_CLINIC_metal_0000_data.nii.gz[026]     18.47    0.7869
dataset7_CLINIC_metal_0000_data.nii.gz[027]     18.47    0.7873
dataset7_CLINIC_metal_0000_data.nii.gz[028]     18.48    0.7873
dataset7_CLINIC_metal_0000_data.nii.gz[029]     18.48    0.7876
dataset7_CLINIC_metal_0000_data.nii.gz[030]     18.47    0.7881
dataset7_CLINIC_metal_0000_data.nii.gz[031]     18.48    0.7883
dataset7_CLINIC_metal_0000_data.nii.gz[032]     18.48    0.7884
dataset7_CLINIC_metal_0000_data.nii.gz[033]     18.48    0.7882
dataset7_CLINIC_metal_0000_data.nii.gz[034]     18.48    0.7882
dataset7_CLINIC_metal_0000_data.nii.gz[035]     18.48    0.7882
dataset7_CLINIC_metal_0000_data.nii.gz[036]     18.48    0.7882
dataset7_CLINIC_metal_0000_data.nii.gz[037]     18.48    0.7884
dataset7_CLINIC_metal_0000_data.nii.gz[038]     18.48    0.7882
dataset7_CLINIC_metal_0000_data.nii.gz[039]     18.48    0.7878
dataset7_CLINIC_metal_0000_data.nii.gz[040]     18.48    0.7876
dataset7_CLINIC_metal_0000_data.nii.gz[041]     18.48    0.7877
dataset7_CLINIC_metal_0000_data.nii.gz[042]     18.47    0.7872
dataset7_CLINIC_metal_0000_data.nii.gz[043]     18.46    0.7867
dataset7_CLINIC_metal_0000_data.nii.gz[044]     18.46    0.7864
dataset7_CLINIC_metal_0000_data.nii.gz[045]     18.47    0.7860
dataset7_CLINIC_metal_0000_data.nii.gz[046]     18.46    0.7854
dataset7_CLINIC_metal_0000_data.nii.gz[047]     18.45    0.7849
dataset7_CLINIC_metal_0000_data.nii.gz[048]     18.44    0.7844
dataset7_CLINIC_metal_0000_data.nii.gz[049]     18.43    0.7839
dataset7_CLINIC_metal_0000_data.nii.gz[050]     18.41    0.7834
dataset7_CLINIC_metal_0000_data.nii.gz[051]     18.39    0.7830
dataset7_CLINIC_metal_0000_data.nii.gz[052]     18.36    0.7826
dataset7_CLINIC_metal_0000_data.nii.gz[053]     18.34    0.7822
dataset7_CLINIC_metal_0000_data.nii.gz[054]     18.33    0.7816
dataset7_CLINIC_metal_0000_data.nii.gz[055]     18.33    0.7808
dataset7_CLINIC_metal_0000_data.nii.gz[056]     18.34    0.7806
dataset7_CLINIC_metal_0000_data.nii.gz[057]     18.35    0.7800
dataset7_CLINIC_metal_0000_data.nii.gz[058]     18.36    0.7788
dataset7_CLINIC_metal_0000_data.nii.gz[059]     18.36    0.7776
dataset7_CLINIC_metal_0000_data.nii.gz[060]     18.37    0.7766
dataset7_CLINIC_metal_0000_data.nii.gz[061]     18.37    0.7751
dataset7_CLINIC_metal_0000_data.nii.gz[062]     18.37    0.7743
dataset7_CLINIC_metal_0000_data.nii.gz[063]     18.36    0.7748
dataset7_CLINIC_metal_0000_data.nii.gz[064]     18.35    0.7753
dataset7_CLINIC_metal_0000_data.nii.gz[065]     18.33    0.7752
dataset7_CLINIC_metal_0000_data.nii.gz[066]     18.30    0.7758
dataset7_CLINIC_metal_0000_data.nii.gz[067]     18.27    0.7766
dataset7_CLINIC_metal_0000_data.nii.gz[068]     18.25    0.7768
dataset7_CLINIC_metal_0000_data.nii.gz[069]     18.24    0.7771
dataset7_CLINIC_metal_0000_data.nii.gz[070]     18.25    0.7772
dataset7_CLINIC_metal_0000_data.nii.gz[071]     18.26    0.7768
